"lon","lat","presence","multi_normalized.1","multi_normalized.2","multi_normalized.3","multi_normalized.4","multi_normalized.5","multi_normalized.6","multi_normalized.7","multi_normalized.8","multi_normalized.9","multi_normalized.10","multi_normalized.11"
-89.3646928,36.3065622,1,0.513331415398836,0.321551932276805,0.814734922892771,0.716320454016814,0.751648364663643,0.632944069106515,0.670995026393805,0.523342813916287,0.420319094421426,0.667375368771895,0.400635157581233
-89.364692,36.3065622,0,0.513331415398836,0.321551932276805,0.814734922892771,0.716320454016814,0.751648364663643,0.632944069106515,0.670995026393805,0.523342813916287,0.420319094421426,0.667375368771895,0.400635157581233
-89.3630129,33.6560067,0,0.466413711803848,0.322731721908941,0.752747411742265,0.690973397243416,0.732507302426738,0.587487697830039,0.736505054774543,0.590871712787908,0.392019258570836,0.70211820750651,0.39850260290771
-89.3435859,31.7258462,0,0.440156301200983,0.338521027528144,0.768032456576503,0.709571280783126,0.532384663340175,0.71368639446799,0.68293926179616,0.558949432582274,0.389171368101407,0.750805560763151,0.417572680228977
-89.334166,35.6893173,1,0.504612045550585,0.315469879040566,0.788124590312021,0.721131109281924,0.547101159981356,0.689036719327382,0.714615094784724,0.551296011499115,0.415569820215913,0.637019826206504,0.417741628842175
-89.2943026,38.3511978,1,0.588289697606579,0.286053245987799,0.790393822711105,0.743613448640133,0.562970832635954,0.677515642620962,0.726479348215495,0.509865256232391,0.398383482772936,0.62388257930358,0.567193261306243
-89.2701391,31.0534826,0,0.423386613496963,0.353411660988542,0.784891449710928,0.685797459962948,0.765980947333928,0.594560661920961,0.694581284342152,0.516990256147064,0.380739536386688,0.761721312301626,0.455964021440071
-89.2690071,39.4800841,1,0.599154274892187,0.264209410281965,0.841686585374283,0.726446840188885,0.55546381041246,0.64471653414474,0.673226012534381,0.451034576643759,0.414476120445591,0.542550005994686,0.48072882003702
-89.2477946,36.8252566,1,0.521605012316612,0.319718281942181,0.810058960297839,0.736889642084805,0.613897690024248,0.677949180620687,0.691797543964161,0.531278491435672,0.416734189943752,0.668231730421357,0.437875608664142
-89.2120306,31.9621774,0,0.444941369519722,0.33169463181707,0.837715801526009,0.665524637065723,0.690869579746098,0.706527643953703,0.506244839326126,0.497076807245125,0.427926359445274,0.712212490712478,0.357709169490461
-89.2049844,39.3998674,1,0.595983956517156,0.266591982910342,0.846658696946947,0.738425192140603,0.460572953666612,0.691606088433114,0.641741197819624,0.445103428011173,0.421071731245339,0.542828007912826,0.471480906811806
-89.1849649,34.3507798,0,0.468197088908836,0.326038912445062,0.789764985444528,0.707172285557074,0.483847961859356,0.710077152189324,0.661372935284643,0.551919260240126,0.409180671118821,0.650690969407806,0.34818629468659
-89.13321,33.56245,0,0.464521910269191,0.326079529012735,0.766660365487358,0.687344827976756,0.696190812704847,0.628924647875349,0.692422712733364,0.574845072983105,0.39671308899231,0.696289291703445,0.39496913302789
-89.1031668,33.1294539,0,0.459780006213738,0.33224598864183,0.767248107357953,0.691626552328901,0.695711855586391,0.629793004508833,0.697706477741525,0.562692064889809,0.387455941873367,0.710702541742168,0.378380413659602
-89.0850451,39.8529571,0,0.603622406882064,0.265974941988866,0.825279112741523,0.717508664187037,0.618437748985329,0.585958427550596,0.719295667367273,0.461186947197558,0.399381956746841,0.552154085964993,0.503913894415979
-89.0787139,35.3612207,1,0.496532993615711,0.316427797222585,0.781215737764936,0.728094319747806,0.511965772121453,0.702682827676112,0.711770699638035,0.55552846092287,0.405916649741007,0.644125557476158,0.399128107836957
